lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
592.658,27077.548,23107.221,25092.3845,143.075,25209.885,45558.231,36959.019,32684.933,24300.567,27505.894,31160.654,29490.663,27304.423,25303.952,23866.317,34807.779,25121.279,28902.087,26330.981,26105.673
592.787,27123.237,23151.635,25137.436,154.043,25221.587,45669.25,36959.606,32797.308,24338.788,27586.394,31270.663,29512.808,27381.538,25332.721,23893.058,34856.808,25137.308,28979.663,26350.087,26138.317
592.915,27124.269,23185.587,25154.928,164.462,25268.385,45545.923,36995.471,32873.846,24411.76,27630.154,31316.5,29613.115,27393.971,25449.413,23955.933,34928.644,25177.75,28987.837,26374.933,26189.442
593.043,27067.71,23113.933,25090.8215,136.054,25214.183,45584.49,36994.462,32767.019,24355.808,27504.221,31291.077,29528.635,27321.327,25309.163,23816.837,34855.26,25119.087,28880.202,26298.798,26096.625
593.171,27141.215,23199.827,25170.521,148.086,25289.067,45759.019,37084.5,32953.933,24400.346,27677.163,31405.856,29675.029,27430.731,25449.49,23957.875,34930.519,25219.981,29040.885,26416.827,26229.99
593.299,27135.204,23205.356,25170.28,140.312,25293.894,45714.788,37057.981,32909.01,24371.135,27641.365,31392.202,29667.115,27415.913,25430.885,23898.654,34944.423,25183.096,28936.087,26388.423,26136.615
593.427,27081.269,23217.596,25149.432500000003,149.495,25240.26,45744.962,37000.635,32946.212,24409.894,27634.587,31362.971,29644.606,27452.346,25440.548,23915.115,34931.327,25178.596,28945.923,26398.538,26181.327
593.555,27174.473,23227.702,25201.0875,145.806,25302.019,45857.471,37091.606,33007.971,24472.981,27692.827,31455.76,29771.202,27582.49,25519.288,23967.837,34986.173,25254.154,28996.981,26473.865,26224.567
593.683,27216.462,23206.74,25211.601000000002,143.054,25357.212,45865.404,37133.481,33109.779,24542.462,27676.606,31540.567,29788.25,27591.731,25529.615,23983.048,35034.25,25284.817,29076.346,26515.404,26295.327
593.812,27232.817,23285.442,25259.1295,140.086,25362.808,45786.288,37195.067,33058.26,24494.356,27756.087,31586.635,29822.567,27587.019,25567.365,24003.913,35017.558,25308.365,29028.933,26504.885,26272.971
593.94,27247.441,23324.173,25285.807,142.022,25449.519,45968.654,37187.327,33196.577,24590.01,27782.625,31645.51,29918.433,27670.163,25624.865,24076.74,35107.404,25392.519,29144.75,26583.615,26399.952
594.068,27286.903,23344.99,25315.9465,153.398,25426.404,46034.288,37225.385,33211.433,24593.452,27803.625,31766.587,29969.01,27763.519,25688.904,24104.5,35141.731,25397.5,29110.692,26659.779,26399.115
594.196,27258.215,23321.788,25290.0015,142.656,25434.337,46082.808,37243.567,33291.808,24654.183,27849.471,31774.529,29979.317,27781.875,25704.635,24091.933,35148.615,25424.99,29165.933,26654.183,26406.577
594.324,27367.387,23411.048,25389.2175,144.473,25480.327,46036.0,37333.029,33340.058,24739.731,27940.452,31835.173,30090.933,27892.5,25743.75,24177.654,35215.587,25500.288,29223.769,26752.51,26522.587
594.452,27498.753,23631.827,25565.29,146.409,25695.587,46274.442,37413.827,33548.404,24955.538,28151.875,32063.769,30318.413,28028.404,25948.654,24390.558,35417.356,25674.519,29427.25,26948.394,26704.452
594.58,27463.946,23550.135,25507.0405,140.075,25618.519,46125.26,37409.25,33427.317,24856.5,28062.548,32050.029,30266.913,27972.385,25883.279,24317.644,35358.702,25646.817,29328.038,26857.365,26645.952
594.708,27503.011,23589.462,25546.2365,144.914,25674.99,46306.298,37462.346,33609.837,24997.442,28150.587,32160.577,30366.404,28065.827,25981.904,24321.952,35451.952,25687.01,29406.663,26947.038,26739.558
594.837,27516.409,23622.971,25569.690000000002,147.527,25718.163,46372.577,37484.683,33665.183,24991.346,28167.923,32190.404,30346.875,28121.49,26049.346,24371.25,35508.644,25720.712,29422.692,26996.144,26735.096
594.965,27615.548,23705.971,25660.7595,154.484,25800.25,46575.231,37581.894,33801.385,25115.788,28274.933,32307.115,30512.548,28240.173,26160.942,24499.971,35616.163,25840.423,29489.087,27058.75,26886.663
595.093,27659.344,23710.885,25685.1145,138.452,25829.087,46441.615,37529.587,33796.712,25115.327,28311.481,32381.423,30584.913,28279.385,26166.644,24489.356,35603.875,25868.817,29472.942,27107.721,26856.288
595.221,27742.527,23867.942,25805.2345,142.839,26015.51,46735.067,37774.356,33957.865,25242.856,28460.577,32533.981,30710.962,28401.75,26349.51,24620.885,35769.712,26017.76,29669.683,27274.365,27042.683
595.349,27759.484,23822.269,25790.8765,145.258,25911.788,46668.106,37715.183,33998.0,25220.058,28426.817,32542.558,30748.269,28404.115,26296.202,24606.212,35763.106,25985.625,29648.769,27279.971,27007.635
595.477,27781.645,23900.087,25840.866,147.462,25973.115,46565.269,37767.865,33985.519,25265.462,28465.779,32606.635,30766.942,28443.202,26310.692,24617.731,35746.163,25958.462,29640.24,27297.846,27045.125
595.605,27841.462,23894.25,25867.856,155.882,26061.779,46756.692,37818.048,34136.798,25356.577,28602.356,32673.471,30867.202,28521.163,26429.596,24697.827,35840.49,26129.587,29753.385,27376.519,27148.5
595.733,27869.849,23910.067,25889.958,143.29,26049.048,46768.538,37856.779,34152.788,25403.663,28568.74,32672.048,30889.5,28554.933,26481.808,24707.75,35825.625,26117.952,29785.827,27436.51,27150.856
595.862,27839.29,23961.558,25900.424,145.86,26061.442,46749.163,37851.288,34124.548,25441.827,28570.692,32722.365,30995.24,28563.375,26418.933,24744.769,35854.99,26147.981,29731.442,27418.433,27210.558
595.99,27828.914,23913.538,25871.226000000002,148.204,26059.923,46802.413,37919.625,34219.202,25396.279,28599.942,32773.298,31021.769,28591.635,26518.808,24702.942,35843.51,26092.125,29828.337,27427.25,27184.74
596.118,27968.355,24018.673,25993.514,141.828,26158.144,46849.769,37931.346,34290.817,25498.683,28712.183,32862.875,31059.952,28690.952,26657.519,24801.49,35917.404,26223.558,29904.798,27481.058,27303.577
596.246,28058.269,24100.308,26079.288500000002,146.72,26228.904,46981.154,38002.923,34396.125,25608.308,28816.404,32986.827,31191.846,28757.76,26664.298,24879.173,36044.067,26321.51,29983.808,27600.433,27321.462
596.374,27956.548,24075.538,26016.042999999998,158.032,26223.212,47003.029,37951.837,34416.173,25543.904,28851.962,32952.962,31187.625,28767.144,26680.952,24825.644,36011.365,26260.817,29973.087,27624.462,27401.115
596.502,28091.602,24095.837,26093.7195,160.108,26294.779,47002.683,38076.269,34468.279,25636.712,28881.01,33053.404,31301.385,28822.452,26767.087,24914.875,36129.115,26352.413,30042.154,27660.885,27448.971
596.63,28082.914,24100.75,26091.832000000002,144.473,26254.25,46949.269,38032.212,34547.077,25657.808,28879.01,33082.327,31323.442,28853.471,26754.558,24905.971,36059.99,26352.452,30072.981,27671.913,27456.75
596.758,28067.774,24140.394,26104.084000000003,148.247,26250.942,47097.404,38050.635,34483.904,25666.644,28893.702,33077.673,31317.567,28902.913,26766.413,24894.462,36023.26,26329.346,29993.856,27683.596,27418.673
596.887,28186.247,24174.981,26180.614,139.86,26362.856,47237.529,38143.327,34683.26,25775.067,28970.01,33187.875,31427.096,28959.798,26890.779,25012.375,36127.106,26423.692,30122.683,27762.894,27523.558
597.015,28175.355,24211.99,26193.6725,151.172,26381.933,47186.788,38255.529,34692.163,25745.01,29034.346,33225.192,31459.548,29023.048,26894.087,25034.106,36128.625,26452.221,30144.029,27840.577,27523.481
