Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2480;1.980200;1.981033;1.669987;2.877800;1.597397
2490;1.971971;1.906889;2.491265;1.628966;2.415630
2500;1.032343;0.960908;1.398110;2.772198;1.821556
2510;1.869195;1.853360;1.528506;2.370123;1.541189
2520;2.305964;1.998040;2.056345;2.337653;1.954772
2530;0.534069;1.426778;2.036233;3.206612;2.021799
2540;1.625150;2.218785;2.045462;1.922133;2.005221
2550;1.981480;2.550613;2.123056;1.947688;2.637223
2560;0.953860;2.739702;1.419656;1.125084;3.140393
2570;1.263521;1.603371;1.479775;1.677935;1.058075
2580;-0.008194;0.992451;0.815896;2.873920;2.101033
2590;2.103285;2.207575;1.929545;1.435618;1.630522
2600;2.271760;1.978558;1.885221;0.922178;1.328310
2610;1.515389;1.755126;2.211707;1.861660;1.022312
2620;2.389930;0.975544;2.544514;2.693078;2.094283
2630;2.395222;2.294260;2.137763;1.552926;1.694734
2640;1.337973;1.984660;2.037740;1.180647;2.415649
2650;1.548868;2.136883;1.098572;2.010525;1.432638
2660;1.338595;2.710951;1.715386;2.166322;1.526960
2670;1.236356;0.603403;1.828702;1.680942;1.371448
2680;1.598751;0.678453;1.238269;1.116686;2.025420
2690;1.447860;1.740175;0.777622;2.635289;1.490789
2700;2.215392;1.602533;1.371841;1.947894;1.936482
2710;1.062549;1.269070;1.836724;1.981190;1.516015
2720;3.094766;1.602114;1.878600;1.085815;0.731760
2730;1.291560;1.926368;2.549111;1.549612;1.595572
2740;1.223929;1.466855;1.520081;1.377234;1.870560
2750;2.096175;2.307121;2.428056;1.029714;1.779042
2760;2.640481;0.512920;1.620091;1.881622;1.499080
2770;0.828108;2.030138;1.694926;1.088017;1.869649
2780;1.539996;1.313017;1.805978;1.492673;1.288857
2790;1.394743;2.495329;1.669808;1.577320;0.477799
2800;1.482077;0.991359;0.664953;1.366083;1.521474
2810;2.098132;0.958620;1.381696;1.482293;2.563143
2820;1.228605;1.777180;0.854672;0.554463;0.415594
2830;1.685006;0.886161;1.329498;1.751662;1.328766
2840;1.950226;1.390242;0.047894;1.948222;1.153882
2850;2.806510;1.225287;0.821159;1.829594;1.462751
2860;1.289217;1.987676;2.011101;2.453434;0.778679
2870;1.115112;1.321520;1.850073;2.047985;1.277800
2880;0.334912;1.118760;1.654825;2.262506;1.049682
2890;2.018553;1.790568;1.862661;0.550623;2.362032
2900;0.863965;0.586180;0.246880;1.590604;1.308848
2910;0.963257;0.333099;1.871352;1.630761;0.292300
2920;1.323324;0.815485;1.594950;2.576370;1.798005
2930;0.928810;1.154194;0.780517;1.858987;1.495654
2940;1.485078;1.391056;0.343304;2.225874;1.545580
2950;0.734017;1.633302;0.154791;1.758376;0.796922
2960;1.390128;0.796098;0.557010;1.453084;0.946548
