Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2370;1.193563;1.335613;1.497144;1.727153;1.518752
2380;1.669161;1.746312;0.853279;1.433427;1.393953
2390;2.257480;1.605155;1.786612;1.570418;1.793638
2400;1.281355;1.641088;1.254693;0.993187;1.380810
2410;1.561825;0.867729;1.542956;1.293014;1.326469
2420;1.235704;1.408445;1.404304;1.134444;1.523485
2430;1.570628;1.734872;1.297552;1.169694;2.258232
2440;1.264029;1.847791;0.949289;1.559487;1.637943
2450;1.782854;1.413835;1.329278;2.037757;1.488567
2460;2.452981;1.655015;1.273425;1.674490;1.532834
2470;1.021264;1.045626;1.168816;1.745538;1.530909
2480;1.393220;1.663853;2.170582;1.370752;1.144604
2490;1.894169;1.315015;0.929774;1.492144;1.568434
2500;1.230501;1.667258;1.089352;1.993115;1.718566
2510;1.770918;1.389708;2.092225;1.568125;1.779840
2520;1.318017;1.419265;1.513265;1.270563;1.375497
2530;1.715845;1.972762;1.314356;1.462640;1.579445
2540;1.397715;1.404853;1.669053;0.605159;1.827097
2550;1.847302;1.183774;1.193022;1.414972;1.383028
2560;1.533280;1.337080;1.222889;1.425121;1.045282
2570;1.021174;1.334051;1.704286;0.923149;2.136803
2580;1.916423;1.270702;1.294340;1.152808;1.320174
2590;1.794820;0.398139;1.571482;1.483915;1.122408
2600;1.268891;0.962771;1.262004;1.691201;1.404170
2610;1.095254;1.644488;1.266978;1.551744;1.738502
2620;1.231956;1.762146;1.578800;1.566102;1.274856
2630;1.727088;1.608072;1.385168;1.169738;2.036717
2640;1.897876;1.013105;1.160341;0.643410;0.440914
2650;1.452696;1.079013;1.387867;1.936953;0.874997
2660;1.571426;2.212419;1.156632;1.423624;1.774116
2670;1.472298;0.891539;1.773197;1.252822;1.247811
2680;1.088941;1.210603;1.195616;1.883096;1.254281
2690;1.378178;1.408775;1.150853;1.250261;1.841263
2700;1.774031;0.888807;2.132600;1.294272;1.605095
2710;1.578844;1.865692;1.373110;1.838744;1.497599
2720;1.238486;1.320889;0.933285;1.280188;0.998274
2730;1.392104;1.894827;1.508252;1.360979;1.607806
2740;0.964302;2.383673;1.194571;1.488444;1.544972
2750;1.105545;1.104125;1.383622;1.189690;0.976026
2760;1.206956;0.849944;1.833830;1.430226;0.838844
2770;2.066198;1.124489;1.117827;1.738001;1.386131
2780;2.022130;0.744807;1.520970;0.842332;1.425707
2790;1.834412;1.408194;1.753338;1.449006;1.229896
2800;0.838165;1.024299;0.986436;1.414171;0.957251
2810;1.703347;1.761197;1.060988;1.772295;0.893473
2820;1.110627;1.772090;0.208853;0.894315;1.342245
2830;1.819297;1.218340;1.369593;1.752333;1.442005
2840;2.126013;1.251708;0.559410;1.420334;1.551204
2850;0.912143;0.843202;1.886469;0.883272;0.195402
2860;1.648697;2.187880;1.107738;1.270520;1.110644
2870;0.841565;0.909701;1.139747;0.919727;1.496466
2880;1.047382;0.982583;2.004428;1.579569;1.008419
2890;1.453921;0.947619;1.025895;1.514435;1.297743
2900;2.158858;1.759482;1.544974;1.177171;1.806890
2910;0.941896;0.954070;0.881322;1.040648;0.698109
2920;1.092966;2.045945;1.260137;0.714445;0.738475
2930;1.524464;1.283247;1.352468;1.096866;0.560856
2940;1.761749;0.935847;1.409525;0.220146;0.961290
2950;1.391038;1.266881;0.594528;1.092631;0.790952
2960;1.599124;1.615028;1.168198;0.859481;0.847078
2970;1.655593;1.060104;0.203593;1.078803;1.569286
2980;1.298885;1.413025;1.259459;0.865712;1.187012
2990;1.163864;0.670078;1.265903;1.301209;0.786842
3000;0.880965;1.393130;1.227381;1.130115;0.923717
3010;0.792789;1.461643;1.288359;0.942903;1.416177
3020;0.868796;1.207291;1.337956;1.261752;0.671766
3030;1.284865;1.137655;0.438806;0.967128;1.044583
3040;1.050248;0.888585;0.875900;1.259543;1.368237
3050;0.931236;1.166855;1.546517;1.051008;0.915249
3060;1.566068;1.077044;0.923239;0.392855;1.131183
3070;1.565505;0.663638;0.732446;0.213935;0.779868
3080;0.725913;1.197606;0.712343;0.929510;1.001821
3090;1.117578;1.286144;1.059080;1.799923;1.173395
3100;1.067514;1.021938;0.728011;1.051587;0.905538
3110;1.189658;1.018923;1.292513;0.634230;1.276755
3120;0.346785;0.987769;1.264951;0.971437;1.033311
3130;1.568596;0.751420;1.032952;0.922976;0.436938
3140;0.644462;0.214249;1.065374;0.764406;0.909647
3150;1.244427;1.155237;1.075621;1.320475;1.454788
3160;0.796192;1.392101;0.781486;1.533944;1.000182
3170;0.255441;0.783207;0.717355;0.722989;1.567945
3180;1.531126;0.374100;1.176209;1.206484;0.806016
3190;1.026769;0.425311;0.570173;1.230788;1.101810
3200;0.978845;0.758890;1.782854;1.580944;0.983864
3210;1.209584;0.918813;0.991600;1.533131;1.118244
3220;1.470039;0.670755;1.277300;1.085835;0.801029
3230;1.429317;1.038184;1.034185;0.601287;1.255626
3240;1.189336;0.997744;0.707420;2.010171;0.638715
3250;1.171861;1.740920;0.710705;1.102619;0.816187
3260;1.594707;1.126020;0.965375;0.861957;0.286337
3270;1.057399;0.803380;0.881858;1.547151;1.564639
3280;1.000077;0.888943;1.316659;1.072636;1.159772
3290;1.275296;1.370664;1.249528;1.571507;0.975137
3300;0.980154;1.135294;0.592470;0.676572;1.533266
3310;1.097319;1.383965;0.942124;1.276233;1.717452
3320;0.664621;1.629159;1.125993;1.010991;1.057403
3330;0.903702;1.039762;0.916708;0.744057;1.070671
3340;1.103909;2.109131;0.372858;1.212758;0.656537
3350;1.563308;1.120593;0.858481;1.052998;1.027940
3360;1.079190;0.682561;0.172887;0.789978;1.234479
3370;0.920559;1.501622;0.982362;1.124625;1.002093
3380;1.354496;0.080481;1.893344;1.066727;1.378580
3390;0.319571;1.223309;1.028921;0.916272;0.919632
