lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
594.708,1574.639,104.546,3431.866,3417.278,3285.804,2188.845,2084.093,2115.093,2096.608,2260.639,2612.567,2279.959,1876.845,1963.835,1846.144,1969.216,1908.34,2109.237
594.837,1558.856,103.34,3394.175,3370.464,3271.237,2198.959,2096.021,2117.299,2110.206,2266.948,2615.546,2270.495,1861.979,1953.021,1855.32,1957.175,1910.113,2114.938
594.965,1580.165,103.639,3485.351,3441.567,3356.887,2199.68,2101.443,2126.124,2129.577,2286.134,2683.979,2292.392,1873.278,1964.763,1861.495,1973.093,1936.155,2133.711
595.093,1585.371,104.144,3385.072,3405.351,3270.093,2199.402,2103.897,2120.722,2102.938,2274.464,2636.536,2291.598,1877.649,1971.237,1863.402,1982.01,1918.0,2126.979
595.221,1581.928,104.32,3441.474,3447.0,3322.34,2198.423,2103.711,2122.175,2115.361,2288.082,2661.031,2290.124,1869.629,1969.66,1861.268,1973.763,1921.289,2125.515
595.349,1578.66,104.165,3423.031,3402.845,3297.247,2212.907,2108.01,2143.474,2126.021,2291.629,2740.701,2317.289,1875.299,1969.639,1878.67,1972.124,1929.433,2134.062
595.477,1594.577,103.763,3442.052,3413.031,3330.598,2223.309,2113.423,2146.691,2128.093,2279.485,2646.742,2300.186,1879.784,1974.763,1868.701,1981.113,1920.258,2141.567
595.605,1579.124,103.227,3442.474,3416.784,3302.742,2211.784,2110.186,2142.794,2124.557,2297.959,2669.278,2312.691,1882.165,1979.0,1865.742,1982.01,1937.969,2144.0
595.733,1613.629,102.876,3462.753,3417.845,3324.134,2245.784,2145.289,2156.402,2155.124,2322.175,2657.134,2349.876,1922.825,2019.649,1888.588,2023.134,1962.876,2176.876
595.862,1590.784,104.175,3480.505,3455.835,3349.186,2233.381,2119.021,2159.608,2145.948,2322.536,2810.876,2357.691,1913.546,1980.278,1882.093,2008.763,1955.938,2163.876
595.99,1595.082,103.082,3500.66,3481.928,3372.753,2230.608,2132.392,2152.124,2146.959,2312.402,2686.072,2319.371,1897.495,1981.701,1882.505,1996.381,1955.742,2159.474
596.118,1594.835,104.113,3539.392,3522.021,3399.062,2243.557,2148.639,2162.351,2151.804,2319.237,2706.763,2345.474,1901.258,2001.629,1885.227,2008.804,1948.082,2161.784
596.246,1596.505,102.804,3589.01,3555.763,3468.247,2259.67,2143.938,2164.536,2161.412,2339.608,2841.979,2379.969,1918.309,2002.289,1899.01,2009.113,1960.763,2171.196
596.374,1593.124,105.021,3485.515,3458.928,3339.845,2251.289,2136.794,2164.701,2154.041,2314.526,2717.598,2354.206,1916.052,2003.711,1899.897,2010.526,1952.021,2162.155
596.502,1616.082,103.464,3494.062,3465.103,3362.031,2264.598,2157.103,2176.186,2178.371,2341.124,2710.948,2368.052,1924.443,2007.299,1904.124,2031.928,1968.443,2181.711
596.63,1615.165,102.804,3513.577,3499.639,3390.99,2282.577,2166.103,2185.351,2176.567,2352.629,2759.773,2391.392,1938.247,2008.402,1909.629,2029.216,1962.608,2187.68
596.758,1614.866,102.412,3504.835,3496.464,3374.289,2263.608,2162.392,2197.381,2164.227,2339.186,2727.732,2381.835,1934.309,2022.722,1898.856,2018.113,1961.33,2179.887
596.887,1611.299,102.876,3508.711,3500.165,3372.052,2278.32,2171.619,2196.402,2183.969,2359.289,2722.062,2384.969,1934.34,2017.392,1918.567,2027.402,1976.485,2188.155
597.015,1628.835,102.577,3509.062,3487.567,3361.278,2289.536,2181.371,2197.392,2196.67,2355.546,2742.021,2393.031,1939.062,2012.474,1923.845,2037.784,1996.433,2202.845
597.143,1590.959,103.773,3537.227,3488.278,3385.66,2251.01,2158.649,2164.619,2162.887,2326.34,2730.361,2366.691,1926.041,1995.041,1894.278,2020.567,1951.577,2172.052
597.271,1607.278,102.041,3543.443,3512.701,3384.99,2275.206,2169.186,2188.052,2176.454,2346.959,2745.423,2392.67,1944.392,2021.144,1903.876,2019.454,1971.649,2185.34
597.399,1611.031,101.711,3558.278,3533.0,3410.99,2282.557,2173.691,2200.763,2186.464,2366.361,2744.299,2399.32,1927.763,2010.041,1918.258,2042.649,1977.072,2182.093
597.527,1625.732,102.237,3517.495,3507.536,3378.093,2298.392,2200.278,2208.474,2201.268,2361.371,2738.598,2414.165,1947.165,2017.598,1915.866,2036.392,1993.907,2201.515
597.655,1623.918,101.392,3536.237,3492.021,3354.639,2281.299,2191.443,2205.443,2198.567,2372.041,2768.082,2419.186,1938.526,2013.299,1909.247,2029.216,1972.134,2210.258
597.783,1615.433,102.866,3535.412,3510.845,3408.454,2283.216,2181.423,2192.588,2192.299,2351.763,2751.701,2412.206,1930.619,2022.351,1920.361,2041.948,1975.99,2188.113
597.912,1616.175,102.557,3543.577,3517.608,3400.186,2290.474,2191.196,2208.124,2195.691,2360.928,2754.588,2414.464,1950.289,2028.887,1906.918,2031.546,1964.526,2193.474
