Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2450;1.311568;1.495634;1.419551;2.024705;1.287241
2460;1.514663;1.832793;1.417354;1.358524;1.284817
2470;1.463823;1.334858;1.411192;1.575431;1.062201
2480;1.522521;1.153970;1.105379;1.619667;1.422913
2490;1.477431;1.397542;1.338359;1.164711;1.391055
2500;1.121137;1.498984;1.257023;0.730412;1.472749
2510;1.710261;1.407696;1.497204;1.067301;1.592728
2520;1.345112;2.212587;1.475047;1.506512;1.201167
2530;1.114637;1.568636;1.517551;1.318148;1.347570
2540;1.349058;1.435889;1.615106;1.440243;1.424707
2550;1.454439;1.343112;1.436018;1.072951;1.411594
2560;1.355695;1.313840;1.412146;1.865460;1.245755
2570;1.163874;1.537021;1.450250;1.470510;1.340815
2580;1.379908;1.409149;1.456734;1.516098;0.955674
2590;1.515796;1.344766;1.455942;1.364497;1.470316
2600;1.405387;1.346018;1.559920;1.117999;1.133030
2610;1.350428;1.726533;1.192930;1.399015;1.819318
2620;1.250619;1.459639;1.422429;1.318953;1.390677
2630;1.443814;1.200137;1.473162;1.238949;1.547427
2640;1.410008;1.619680;1.585283;1.267666;1.385882
2650;1.332916;1.067042;1.215753;1.080252;1.518250
2660;1.215547;1.532539;1.570097;1.460424;1.284591
2670;1.698409;1.469515;1.311393;1.910010;1.401665
2680;1.471882;1.100751;1.087131;1.427086;1.507360
2690;1.600287;1.345102;1.314856;1.183768;1.317608
2700;1.227721;1.372286;1.421841;1.519228;1.175568
2710;1.287663;1.811046;1.601698;1.309668;1.546966
2720;1.391472;1.006411;1.325490;1.318516;1.104364
2730;1.263115;1.583850;1.197732;1.108722;1.504947
2740;1.012074;0.908687;1.291979;1.268857;1.483892
2750;1.467587;0.929465;1.471882;1.058023;1.405606
2760;0.769341;1.362666;1.292925;1.654447;1.533656
2770;1.154261;1.342246;0.818551;1.288264;1.430071
2780;1.187998;1.142969;1.416277;1.262268;1.531734
2790;1.276828;1.431848;1.701519;1.264856;1.200406
2800;1.053664;1.071752;1.551157;1.289945;1.090232
2810;1.346553;1.092902;1.311931;1.260210;1.591755
2820;1.436991;1.312402;0.966768;1.034633;1.110235
2830;1.145846;1.050566;1.279155;0.831931;1.382938
2840;1.282616;1.338866;1.125105;0.973512;1.136747
2850;1.345645;1.046168;1.347467;1.682018;1.288677
2860;1.453734;1.170797;1.390212;1.248783;1.046728
2870;1.015264;1.134167;1.061432;1.318529;1.142612
2880;1.305314;1.241857;1.421262;1.004592;1.616284
2890;1.366579;1.316866;1.593866;1.088529;1.213212
2900;1.244709;1.043863;1.198901;1.253121;1.460899
