lambda[nm],I_Ref[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
595.221,754.948,104.32,1346.495,1251.443,1220.268,945.423,901.814,866.258,846.474,851.608,1445.216,1164.536,856.979,894.536,829.649,850.01,819.371,856.907
595.349,760.918,104.165,1329.01,1255.072,1225.062,949.691,898.268,884.134,853.938,847.443,1443.474,1172.938,855.227,898.216,829.804,857.68,820.99,859.299
595.477,759.784,103.763,1352.454,1256.32,1224.649,954.299,901.247,882.928,840.299,844.825,1441.443,1177.907,857.567,903.196,824.773,859.258,827.175,854.567
595.605,752.351,103.227,1345.113,1261.67,1238.546,951.268,908.144,879.649,849.557,853.268,1445.711,1176.835,858.412,902.505,831.691,857.608,824.845,859.32
595.733,767.68,102.876,1355.124,1250.835,1232.804,960.907,921.134,894.392,857.062,859.041,1463.351,1190.67,870.588,916.01,840.093,867.412,824.371,875.938
595.862,763.433,104.175,1362.32,1261.062,1238.34,954.268,910.062,884.412,854.763,857.505,1469.608,1187.577,872.814,908.629,843.0,858.454,822.0,863.155
595.99,756.598,103.082,1345.526,1252.351,1231.227,959.289,905.918,888.361,858.722,857.732,1468.361,1184.113,861.66,904.206,827.959,858.753,817.866,869.361
596.118,757.289,104.113,1352.567,1259.928,1231.495,956.392,915.309,893.227,855.99,861.598,1470.546,1197.639,865.381,904.938,837.546,864.485,828.443,862.268
596.246,767.052,102.804,1353.392,1252.629,1236.598,966.526,920.485,894.588,862.454,860.021,1471.474,1197.495,870.113,923.928,840.402,873.113,834.907,875.175
596.374,754.876,105.021,1351.825,1261.99,1236.835,960.722,910.351,889.804,862.814,861.381,1480.433,1201.515,880.701,913.041,838.165,855.938,824.155,865.546
596.502,765.113,103.464,1365.268,1262.67,1244.33,960.948,915.773,896.124,863.371,857.701,1493.33,1204.134,874.598,917.969,847.825,871.103,825.722,878.505
596.63,762.938,102.804,1365.258,1272.32,1241.99,969.258,928.381,901.33,864.639,865.608,1502.505,1209.371,874.907,915.742,841.165,860.588,835.186,869.897
596.758,766.278,102.412,1369.412,1269.34,1237.278,965.959,925.99,900.237,865.041,868.567,1485.412,1217.072,879.629,923.938,847.979,867.577,835.216,881.732
596.887,770.763,102.876,1362.186,1266.041,1243.629,971.814,924.464,902.309,865.0,867.845,1498.969,1222.155,878.866,922.639,843.619,874.196,839.268,877.33
597.015,775.124,102.577,1362.856,1269.124,1241.072,968.691,924.794,893.784,870.103,871.32,1507.753,1225.144,877.464,921.454,848.01,870.99,835.639,883.918
597.143,762.577,103.773,1366.299,1266.515,1245.082,973.124,913.742,890.289,870.351,860.959,1490.866,1211.402,870.897,911.557,838.371,867.856,837.577,873.454
597.271,761.598,102.041,1364.0,1267.433,1241.278,968.371,925.186,906.464,869.021,860.474,1511.928,1218.433,875.67,915.588,846.289,865.33,835.67,880.423
597.399,769.031,101.711,1365.361,1277.433,1238.608,972.649,929.969,906.557,867.454,864.588,1514.938,1233.711,889.381,920.103,842.464,873.268,837.33,869.381
597.527,772.918,102.237,1370.021,1265.082,1244.278,967.351,932.247,901.485,867.619,873.309,1526.948,1233.093,878.289,923.485,849.093,874.371,844.66,886.144
597.655,778.216,101.392,1355.68,1259.268,1239.948,977.649,937.309,905.763,868.856,860.165,1517.897,1227.062,888.732,924.959,845.103,877.186,840.278,883.763
597.783,775.052,102.866,1360.876,1256.227,1230.01,974.299,929.608,899.948,871.629,870.515,1521.814,1240.113,885.144,928.041,855.216,874.701,839.876,880.887
597.912,765.701,102.557,1369.113,1265.433,1249.711,972.557,917.32,900.412,865.247,870.814,1529.433,1236.433,887.34,927.536,847.505,868.464,832.546,877.907
598.04,774.278,103.289,1375.753,1271.773,1242.99,965.753,925.423,904.753,867.845,867.979,1534.979,1248.32,891.299,918.804,848.546,877.753,846.505,878.351
598.168,775.227,103.206,1364.67,1283.557,1240.515,972.773,929.052,909.732,872.474,863.247,1528.959,1240.753,890.433,919.794,850.113,875.485,839.67,882.32
598.296,769.938,102.928,1371.753,1259.969,1243.814,966.938,925.33,906.392,873.67,871.031,1522.381,1246.691,887.67,924.773,849.619,872.103,837.68,880.66
598.424,767.897,103.216,1362.732,1269.093,1233.381,972.825,923.505,899.113,873.309,866.155,1537.216,1239.948,887.773,926.907,847.258,875.402,840.34,877.34
598.552,774.361,102.598,1372.021,1258.443,1236.247,979.753,934.598,903.722,867.371,866.567,1539.031,1249.351,885.103,929.155,843.918,883.206,842.557,882.928
598.68,767.34,101.742,1372.072,1269.32,1231.505,969.258,934.124,900.845,871.701,867.845,1529.68,1241.144,891.34,924.278,847.186,870.34,838.639,871.639
598.808,770.062,101.959,1373.258,1265.495,1245.464,980.289,936.33,908.278,870.866,871.258,1548.969,1253.598,892.691,924.072,849.773,873.742,838.0,879.701
598.937,786.361,102.134,1375.175,1266.897,1242.237,980.454,933.763,910.134,877.557,876.258,1561.423,1271.144,897.711,936.165,850.722,878.794,842.722,885.732
599.065,776.34,104.443,1361.351,1270.814,1239.289,979.526,932.124,903.557,870.361,877.948,1559.495,1260.845,897.629,940.206,853.134,883.959,843.454,885.175
599.193,775.165,103.784,1365.134,1261.371,1234.433,980.856,930.794,910.969,869.309,872.835,1554.887,1268.948,899.443,930.361,853.33,878.577,841.588,873.351
599.321,767.68,102.237,1367.918,1259.392,1237.021,971.175,921.278,900.969,867.247,856.969,1547.237,1258.876,880.423,928.835,839.021,878.309,829.557,877.062
599.449,769.897,101.299,1360.423,1268.897,1239.021,981.0,938.464,911.814,880.68,879.711,1569.557,1274.052,910.021,931.608,852.773,881.052,840.103,887.278
599.577,772.557,103.515,1362.34,1267.979,1228.031,986.948,925.577,898.598,866.722,876.588,1559.701,1281.34,899.969,926.67,846.938,882.959,839.784,889.072
599.705,773.278,104.526,1363.247,1264.196,1233.99,971.021,934.175,910.186,869.0,861.784,1560.722,1277.649,892.206,926.351,852.536,872.474,842.196,887.876
599.833,774.505,102.619,1364.979,1276.856,1234.155,982.876,936.691,904.938,871.433,871.134,1564.526,1281.722,899.918,933.639,858.557,885.938,846.794,890.526
599.962,769.691,102.485,1366.546,1257.773,1227.804,977.598,937.134,902.753,873.588,870.361,1569.948,1276.495,891.608,925.619,848.959,874.423,839.082,876.588
600.09,774.722,102.278,1370.258,1263.258,1236.753,979.103,938.567,909.082,866.918,877.216,1568.526,1285.371,903.34,929.835,859.34,879.557,841.608,879.474
600.218,770.711,101.608,1370.711,1266.918,1233.206,983.907,934.773,906.835,876.443,873.062,1578.412,1285.371,893.701,923.959,847.825,883.794,845.278,883.216
600.346,774.99,102.443,1369.526,1267.814,1226.814,984.381,945.155,897.082,876.639,875.124,1577.691,1295.825,905.918,938.546,859.557,878.186,842.557,889.495
600.474,770.103,102.351,1363.134,1260.948,1236.691,985.691,948.093,912.742,875.34,881.588,1581.278,1290.309,904.546,931.031,845.887,885.093,845.082,883.629
600.602,775.876,102.753,1373.835,1270.773,1237.495,982.845,942.928,913.093,882.124,875.557,1596.876,1300.938,903.34,940.485,861.969,885.68,844.289,889.361
600.73,768.227,102.619,1366.454,1268.887,1241.485,986.691,938.711,913.371,877.701,875.072,1588.072,1310.722,901.814,934.567,850.577,888.093,845.258,889.361
600.858,773.206,103.732,1381.186,1269.278,1244.351,983.082,942.979,906.371,875.825,876.67,1595.423,1316.546,905.392,938.722,859.784,885.701,846.515,886.918
600.987,776.289,103.876,1380.794,1270.639,1246.784,994.103,941.134,908.835,880.227,873.969,1597.454,1302.979,909.536,931.082,852.247,886.33,844.34,884.258
601.115,776.866,103.753,1370.649,1275.237,1235.66,993.082,941.649,911.175,876.052,876.052,1603.433,1314.371,900.742,935.258,860.155,883.278,848.835,887.608
601.243,775.577,103.66,1386.33,1270.227,1250.598,977.763,944.165,914.825,880.495,875.979,1596.887,1311.01,904.732,934.608,856.072,884.959,848.082,884.031
601.371,772.742,102.237,1386.041,1279.959,1253.856,988.144,948.619,915.598,886.0,878.691,1609.701,1328.732,913.763,947.227,869.289,882.99,841.134,892.485
601.499,777.938,103.113,1385.639,1275.464,1249.103,983.608,949.773,916.887,881.412,875.711,1616.34,1329.948,913.753,937.206,866.474,886.144,853.876,893.186
601.627,784.711,101.99,1390.536,1273.289,1256.052,993.907,941.804,914.887,883.412,880.68,1608.134,1330.722,911.938,935.763,865.155,885.794,840.505,887.588
601.755,779.649,102.753,1395.546,1285.32,1260.722,1002.67,959.691,919.639,889.67,886.33,1634.753,1340.216,924.021,945.835,862.041,893.536,854.557,896.794
601.883,777.309,102.485,1397.742,1286.876,1261.01,1009.309,952.433,913.495,888.433,877.392,1624.268,1348.289,930.969,949.619,863.186,888.66,861.938,889.196
602.012,789.763,102.588,1402.969,1292.072,1258.144,1008.691,965.66,923.464,891.557,893.546,1654.546,1357.897,927.959,952.536,871.309,896.237,861.67,904.041
602.14,784.443,101.32,1393.876,1281.794,1254.196,1003.093,951.351,923.402,887.825,889.268,1637.351,1353.598,925.557,950.66,872.01,898.577,860.113,894.361
602.268,785.031,102.608,1400.289,1294.835,1255.237,1002.856,963.505,927.247,889.062,880.278,1649.835,1354.67,931.041,954.567,880.093,894.206,867.907,897.216
602.396,785.258,101.876,1412.814,1293.258,1254.876,1010.773,954.299,929.113,889.474,887.639,1667.753,1364.557,923.979,956.031,878.856,900.186,857.773,907.536
602.524,791.196,103.175,1397.711,1298.897,1267.124,1000.0,958.505,929.567,887.381,896.289,1662.371,1355.402,925.082,947.052,878.732,892.526,867.124,897.629
602.652,788.381,103.392,1410.722,1297.412,1281.433,1016.907,972.897,927.155,897.495,890.351,1675.814,1378.237,937.34,962.701,882.443,904.454,861.443,915.299
602.78,791.454,102.804,1433.773,1320.722,1281.485,1021.99,967.433,926.691,899.639,897.412,1670.928,1392.175,931.732,956.619,879.515,906.536,869.814,902.464
602.908,786.515,101.598,1407.979,1309.577,1281.443,1020.598,967.763,937.66,898.289,903.309,1683.351,1388.68,930.753,962.361,883.979,912.247,858.371,917.247
603.037,792.082,101.928,1427.515,1310.948,1283.443,1025.629,971.649,934.722,892.887,897.082,1699.536,1399.371,937.299,971.381,883.474,904.639,869.155,917.0
603.165,794.938,101.474,1421.773,1307.794,1281.381,1033.01,983.629,938.732,909.454,909.041,1699.546,1411.021,941.546,963.536,888.825,909.505,861.938,917.361
603.293,802.629,103.072,1431.381,1324.134,1287.959,1033.753,978.887,945.237,906.887,907.392,1697.485,1418.577,939.041,986.856,890.928,913.68,874.443,926.103
603.421,797.186,102.856,1433.876,1306.33,1277.794,1025.577,973.175,938.691,912.371,915.454,1707.495,1412.464,952.485,975.546,891.464,917.66,880.546,927.423
603.549,798.567,101.619,1434.021,1329.711,1296.361,1020.546,978.33,946.309,909.371,901.804,1704.639,1426.381,939.928,971.825,896.021,910.309,872.66,922.99
603.677,804.495,102.237,1440.67,1332.041,1288.825,1037.897,986.206,951.196,913.577,914.443,1735.082,1423.639,959.515,980.082,898.711,918.67,887.258,924.526
603.805,798.835,102.052,1441.072,1324.907,1290.237,1037.732,987.701,948.68,911.33,911.66,1728.722,1423.629,950.381,972.577,892.938,916.577,873.021,914.402
