omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
17.1,3292,3241,8.55,17.603043438479148,8.801521719239574,1.168227596766594
17.2,3289,3122,8.6,17.702665194214287,8.851332597107143,1.1746278948119369
17.3,3159,3048,8.65,17.80228694994943,8.901143474974715,1.1810246417538743
17.4,3172,2975,8.7,17.90190870568457,8.950954352842285,1.187417818253932
17.5,2996,2901,8.75,18.001530461419712,9.000765230709856,1.1938074049844318
17.6,3037,2921,8.8,18.101152217154855,9.050576108577427,1.2001933826285471
17.7,2864,3035,8.85,18.200773972889994,9.100386986444997,1.206575731880363
17.8,3319,3148,8.9,18.300395728625137,9.150197864312569,1.2129544334449323
17.9,3388,3262,8.95,18.400017484360276,9.200008742180138,1.2193294680383362
18.0,3349,3569,9.0,18.49963924009542,9.24981962004771,1.2257008163877425
18.1,3429,4069,9.05,18.599260995830562,9.299630497915281,1.2320684592314621
18.2,5327,4569,9.1,18.698882751565698,9.349441375782849,1.2384323773190085
18.3,10353,5069,9.15,18.79850450730084,9.39925225365042,1.2447925514111569
18.4,6103,5107,9.2,18.89812626303598,9.44906313151799,1.2511489622799996
18.5,5319,4683,9.25,18.997748018771123,9.498874009385561,1.2575015907090066
18.6,4673,4259,9.3,19.097369774506266,9.548684887253133,1.2638504174930827
18.7,3623,3835,9.35,19.196991530241405,9.598495765120703,1.2701954234386263
18.8,11413,3496,9.4,19.296613285976548,9.648306642988274,1.2765365893635858
18.9,15069,3243,9.45,19.396235041711687,9.698117520855844,1.2828738960975195
19.0,7133,2989,9.5,19.49585679744683,9.747928398723415,1.2892073244816522
19.1,3695,2736,9.55,19.595478553181973,9.797739276590987,1.2955368553689346
19.2,3347,2523,9.6,19.695100308917112,9.847550154458556,1.301862469624098
19.3,2609,2351,9.65,19.794722064652255,9.897361032326128,1.308184148123717
19.4,2132,2180,9.7,19.894343820387395,9.947171910193697,1.3145018717562629
19.5,1961,2008,9.75,19.993965576122537,9.996982788061269,1.3208156214221647
19.6,1922,1904,9.8,20.09358733185768,10.04679366592884,1.327125378033863
19.7,1967,1869,9.85,20.193209087592816,10.096604543796408,1.3334311225158724
19.8,1968,1833,9.9,20.29283084332796,10.14641542166398,1.3397328358048366
19.9,1872,1798,9.95,20.3924525990631,10.19622629953155,1.346030498849585
20.0,1800,1759,10.0,20.49207435479824,10.24603717739912,1.3523240926111928
20.1,1780,1716,10.05,20.591696110533384,10.295848055266692,1.358613598063037
20.2,1726,1674,10.1,20.691317866268523,10.345658933134262,1.3648989961908533
20.3,1686,1631,10.15,20.790939622003666,10.395469811001833,1.3711802679927962
20.4,1709,1604,10.2,20.890561377738806,10.445280688869403,1.3774573944794937
20.5,1610,1592,10.25,20.99018313347395,10.495091566736974,1.3837303566741064
20.6,1561,1579,10.3,21.08980488920909,10.544902444604546,1.3899991356123838
20.7,1607,1567,10.35,21.18942664494423,10.594713322472115,1.396263712342722
20.8,1564,1544,10.4,21.289048400679373,10.644524200339687,1.4025240679262219
20.9,1648,1511,10.45,21.388670156414513,10.694335078207256,1.4087801834367448
21.0,1628,1477,10.5,21.488291912149656,10.744145956074828,1.4150320399609713
21.1,1494,1444,10.55,21.587913667884795,10.793956833942397,1.4212796185984564
21.2,1513,1423,10.6,21.687535423619934,10.843767711809967,1.4275229004616896
21.3,1427,1416,10.65,21.787157179355077,10.893578589677539,1.4337618666761487
21.4,1492,1409,10.7,21.886778935090216,10.943389467545108,1.4399964983803593
21.5,1398,1402,10.75,21.98640069082536,10.99320034541268,1.4462267767259513
21.6,1457,1407,10.8,22.086022446560502,11.043011223280251,1.4524526828777145
21.7,1432,1425,10.85,22.18564420229564,11.09282210114782,1.458674198013657
21.8,1469,1442,10.9,22.285265958030784,11.142632979015392,1.4648913033250623
21.9,6197,1460,10.95,22.384887713765924,11.192443856882962,1.471103980016545
22.0,8065,1445,11.0,22.484509469501067,11.242254734750533,1.4773122093061082
22.1,4192,1398,11.05,22.58413122523621,11.292065612618105,1.4835159724252003
22.2,1654,1350,11.1,22.68375298097135,11.341876490485674,1.4897152506187716
22.3,1369,1303,11.15,22.78337473670649,11.391687368353246,1.495910025145332
22.4,1279,1274,11.2,22.88299649244163,11.441498246220815,1.5021002772770056
22.5,1280,1264,11.25,22.982618248176774,11.491309124088387,1.5082859882995887
22.6,1240,1255,11.3,23.082240003911913,11.541120001955957,1.5144671395126066
22.7,1280,1245,11.35,23.181861759647052,11.590930879823526,1.5206437122293694
22.8,1249,1231,11.4,23.281483515382195,11.640741757691098,1.5268156877770291
22.9,1295,1213,11.45,23.381105271117335,11.690552635558667,1.5329830474966355
23.0,1289,1195,11.5,23.480727026852477,11.740363513426239,1.539145772743193
23.1,1194,1177,11.55,23.58034878258762,11.79017439129381,1.545303844885716
23.2,1233,1162,11.6,23.67997053832276,11.83998526916138,1.5514572453072868
23.3,1168,1149,11.65,23.779592294057903,11.889796147028951,1.5576059554051116
23.4,1139,1136,11.7,23.879214049793042,11.939607024896521,1.5637499565905757
23.5,1146,1122,11.75,23.978835805528185,11.989417902764092,1.5698892302892995
23.6,1116,1103,11.8,24.078457561263328,12.039228780631664,1.576023757941197
23.7,1162,1076,11.85,24.178079316998467,12.089039658499233,1.5821535210005284
23.8,1142,1050,11.9,24.27770107273361,12.138850536366805,1.5882785009359603
23.9,1142,1023,11.95,24.37732282846875,12.188661414234375,1.5943986792306177
24.0,1117,1006,12.0,24.476944584203892,12.238472292101946,1.600514037382143
24.1,1010,998,12.05,24.57656633993903,12.288283169969516,1.6066245569027493
24.2,1068,989,12.1,24.67618809567417,12.338094047837085,1.6127302193192798
24.3,977,981,12.15,24.775809851409313,12.387904925704657,1.6188310061732591
24.4,1014,970,12.2,24.875431607144453,12.437715803572226,1.6249268990209533
24.5,982,956,12.25,24.975053362879596,12.487526681439798,1.631017879433424
24.6,969,943,12.3,25.07467511861474,12.53733755930737,1.6371039289965827
24.7,1012,929,12.35,25.174296874349878,12.587148437174939,1.643185029311248
24.8,1008,911,12.4,25.27391863008502,12.63695931504251,1.6492611619932018
24.9,922,889,12.45,25.37354038582016,12.68677019291008,1.6553323086732432
25.0,966,866,12.5,25.473162141555303,12.736581070777651,1.6613984509972457
25.1,912,844,12.55,25.572783897290446,12.786391948645223,1.6674595706262103
25.2,912,828,12.6,25.672405653025585,12.836202826512793,1.673515649236324
25.3,833,818,12.65,25.772027408760728,12.886013704380364,1.679566668519013
25.4,820,808,12.7,25.871649164495867,12.935824582247934,1.6856126101809987
25.5,844,798,12.75,25.971270920231007,12.985635460115503,1.6916534559443535
25.6,826,793,12.8,26.07089267596615,13.035446337983075,1.6976891875465552
